"category","subcategory","title","file_name","extension","suffix","applications","visibility","keywords","first_comment","relative_path","source_path","size_bytes","line_count"
"Construct","","radialstub","radialstub.bmp","bmp","","","","","","Construct\radialstub.bmp","D:\CST\Library\Macros\Construct\radialstub.bmp","80826","15"
"Construct","","Show-Hide pins of Schematic Block","Show-Hide pins of Schematic Block^+DS.mcr","mcr","+DS","DS","menu-visible","Port","--------------------------------------------------------------------------------------------------------","Construct\Show-Hide pins of Schematic Block^+DS.mcr","D:\CST\Library\Macros\Construct\Show-Hide pins of Schematic Block^+DS.mcr","1096","28"
"Construct","","Spherical Grid","Spherical Grid.bmp","bmp","","","","","","Construct\Spherical Grid.bmp","D:\CST\Library\Macros\Construct\Spherical Grid.bmp","506238","49"
"Construct","","Superconducting Cavity_tesla","Superconducting Cavity_tesla.bmp","bmp","","","","","","Construct\Superconducting Cavity_tesla.bmp","D:\CST\Library\Macros\Construct\Superconducting Cavity_tesla.bmp","685554","3"
"Construct","Vias","Create Plated Vias from EDA Import","Create Plated Vias from EDA Import^-DS.mcs","mcs","-DS","DS","hidden/internal","Boolean;Component;Cylinder;Import;Material;Pick;Port;Resulttree;Solid;WCS","Construct\Vias\Create Plated Vias from EDA Import","Construct\Vias\Create Plated Vias from EDA Import^-DS.mcs","D:\CST\Library\Macros\Construct\Vias\Create Plated Vias from EDA Import^-DS.mcs","8866","311"
"Construct","Vias","Via Wizard","Via Wizard^-DS.mcr","mcr","-DS","DS","hidden/internal","","Little Wrapper to call the Via Wizard from CST Macros","Construct\Vias\Via Wizard^-DS.mcr","D:\CST\Library\Macros\Construct\Vias\Via Wizard^-DS.mcr","794","21"
"Construct","Vias","Vias along curve","Vias along curve^-DS.mcs","mcs","-DS","DS","hidden/internal","Boolean;Component;Curve;Cylinder;Material;Pick;Port;ResultTree;StoreParameter;WCS","Vias along Curve","Construct\Vias\Vias along curve^-DS.mcs","D:\CST\Library\Macros\Construct\Vias\Vias along curve^-DS.mcs","13604","407"
"Construct","Vias","Vias from File list","Vias from File list^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Component;Cylinder;Export;Material;Port;Solid","*Construct / Vias / Vias from File list","Construct\Vias\Vias from File list^-DS.mcr","D:\CST\Library\Macros\Construct\Vias\Vias from File list^-DS.mcr","5579","140"
"Construct","Vias","Vias from Picks","Vias from Picks^-DS.mcs","mcs","-DS","DS","hidden/internal","Boolean;Component;Cylinder;Material;Pick;Solid;WCS","Construct / Vias / Vias from Picks","Construct\Vias\Vias from Picks^-DS.mcs","D:\CST\Library\Macros\Construct\Vias\Vias from Picks^-DS.mcs","2810","86"
"Construct","Wires","cable_twist","cable_twist.bmp","bmp","","","","","","Construct\Wires\cable_twist.bmp","D:\CST\Library\Macros\Construct\Wires\cable_twist.bmp","132186","1"
"Construct","Wires","Construct Wire Transition (Cable Twist)","Construct Wire Transition (Cable Twist)^-DS.mcs","mcs","-DS","DS","hidden/internal","Brick;Component;Curve;Material;Pick;Resulttree;Solid;Transform;WCS;Wire","Construct / Miscellaneous / Cable Twist","Construct\Wires\Construct Wire Transition (Cable Twist)^-DS.mcs","D:\CST\Library\Macros\Construct\Wires\Construct Wire Transition (Cable Twist)^-DS.mcs","9703","297"
"Construct","Wires","Multiple Bondwires from Picked Points","Multiple Bondwires from Picked Points^-DS.mcr","mcr","-DS","DS","hidden/internal","Pick;Resulttree;WCS;Wire","*Construct / Wires / Multiple Bondwires from Picked Points","Construct\Wires\Multiple Bondwires from Picked Points^-DS.mcr","D:\CST\Library\Macros\Construct\Wires\Multiple Bondwires from Picked Points^-DS.mcr","3489","118"
"Converter","","A Sonnet Converter","A Sonnet Converter.bas","bas","","","","Arc;Boolean;Boundary;Brick;Component;Curve;Cylinder;Export;Import;Material;Mesh;Port;Resulttree;Solid;Solver;WCS;Wire","Sonnet Converter.BAS","Converter\A Sonnet Converter.bas","D:\CST\Library\Macros\Converter\A Sonnet Converter.bas","92239","2101"
"Converter","","ADS Converter 1","ADS Converter 1.bas","bas","","","","Arc;Boolean;Boundary;Brick;Component;Curve;DiscretePort;Import;Material;Mesh;Monitor;Pick;Port;Resulttree;Solid;Solver;WaveguidePort;Wire","This function reads a sequence of characters from the given file stream","Converter\ADS Converter 1.bas","D:\CST\Library\Macros\Converter\ADS Converter 1.bas","121674","4308"
"Converter","","ADS Converter 2","ADS Converter 2.bas","bas","","","","Brick;Import;Pick;Port;Resulttree;Solid","","Converter\ADS Converter 2.bas","D:\CST\Library\Macros\Converter\ADS Converter 2.bas","6530","163"
"Converter","","ADS Converter 3","ADS Converter 3.bas","bas","","","","Boolean;Import;Port","","Converter\ADS Converter 3.bas","D:\CST\Library\Macros\Converter\ADS Converter 3.bas","2297","60"
"Converter","","ADS Converter 4","ADS Converter 4.bas","bas","","","","Arc;Boolean;Boundary;DiscretePort;Import;Port;WaveguidePort","Import ADS Model","Converter\ADS Converter 4.bas","D:\CST\Library\Macros\Converter\ADS Converter 4.bas","6535","194"
"Converter","","ADS Converter 5","ADS Converter 5.bas","bas","","","","Arc;Import;Port","Define Substrate Dimensions","Converter\ADS Converter 5.bas","D:\CST\Library\Macros\Converter\ADS Converter 5.bas","1225","36"
"File","","ADS Converter 1","ADS Converter 1.bas","bas","","","","Arc;Boolean;Boundary;Brick;Component;Curve;DiscretePort;Import;Material;Mesh;Monitor;Pick;Port;Resulttree;Solid;Solver;WaveguidePort;Wire","This function reads a sequence of characters from the given file stream","File\ADS Converter 1.bas","D:\CST\Library\Macros\File\ADS Converter 1.bas","121674","4308"
"File","","ADS Converter 2","ADS Converter 2.bas","bas","","","","Brick;Import;Pick;Port;Resulttree;Solid","","File\ADS Converter 2.bas","D:\CST\Library\Macros\File\ADS Converter 2.bas","6530","163"
